id	label	statement	subject	speaker	speaker_job_title	state_info	party_affiliation	barely_true_counts	false_counts	half_true_counts	mostly_true_counts	pants_on_fire_counts	context
2635-0	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	patrick	patrick	patrick	patrick	patrick	patrick	patrick	patrick	patrick	patrick	patrick
10540-0	half-true	When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.	energy,history,job-accomplishments	oneill	oneill	oneill	oneill	oneill	oneill	oneill	oneill	oneill	oneill	oneill
324-0	mostly-true	Hillary Clinton agrees with John McCain "by voting to give George Bush the benefit of the doubt on Iran."	foreign-policy	aconn	aconn	aconn	aconn	aconn	aconn	aconn	aconn	aconn	aconn	aconn
1123-0	false	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly	oreilly
9028-0	half-true	The economic turnaround started at the end of my term.	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12465-0	true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	degner	degner	degner	degner	degner	degner	degner	degner	degner	degner	degner
2342-0	barely-true	Jim Dunnam has not lived in the district he represents for years now.	job-accomplishments	tipton	tipton	tipton	tipton	tipton	tipton	tipton	tipton	tipton	tipton	tipton
153-0	half-true	I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.	ethics	feingold	feingold	feingold	feingold	feingold	feingold	feingold	feingold	feingold	feingold	feingold
5602-0	half-true	However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.	transportation	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
9741-0	false	Says GOP primary opponents Glenn Grothman and Mark Neumann would use a quote from the late, great Bobby Kennedy in promoting their campaigns.	children,campaign-finance	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7115-0	half-true	For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.	civil-rights,pundits,politics	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4148-0	half-true	Since 2000, nearly 12 million Americans were deported.	immigration	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6091-0	false	When Mitt Romney was governor of Massachusetts, we didnt slow the rate of growth of our government, we actually cut it.	history,job-accomplishments,romney-administration	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
8705-0	false	The economy bled $24 billion due to the government shutdown.	economy,causes-of-economic-conditions-change	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10683-0	half-true	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	health-care,deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
620-0	true	Scott Walker favors cutting up to 350,000 jobs from Wisconsin public employee unions.	unions	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
606-0	half-true	Says Mitt Romney wants to raise taxes on middle class families by an average of $2,000 to pay for his $5 trillion tax cut for the wealthy.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6073-0	half-true	The essential question of the 2012 election is whether we can restore an economy that rewards all Americans, not just the wealthy, or whether we continue with a Bush-era economy that favors the wealthy.	economy,income	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4136-0	half-true	The Obama administration spent about 65 million of the tax-payers money flying in a fake president actor to Georgetown for the 57th inauguration.	ethics	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
